Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
bossier 20 40,$ 1000.00,$ 1625.00,$ 625.00,Fri Jan 22 10:37:00 CST 2016,Fri Jan 22 14:37:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,326,Limit Holdem,20/40,none
Omaha,$ 1800.00,$ 3505.00,$ 1705.00,Fri Jan 22 15:23:00 CST 2016,Sat Jan 23 03:23:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,2 5,-,-,,327,Omaha,2/5,none
bossier city 1 3,$ 400.00,$ 747.00,$ 347.00,Thu Jan 28 19:19:00 CST 2016,Thu Jan 28 23:19:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,1 3,-,-,,328,No-Limit Holdem,1/3,none
bossier 20 40,$ 2000.00,$ 600.00,$ -1400.00,Fri Jan 29 11:24:00 CST 2016,Fri Jan 29 23:24:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,329,Limit Holdem,20/40,none
bossier city 1 3,$ 500.00,$ 633.00,$ 133.00,Thu Feb 04 12:20:00 CST 2016,Thu Feb 04 13:10:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,1 3,-,-,,330,No-Limit Holdem,1/3,none
bossier 20 40,$ 633.00,$ 2893.00,$ 2260.00,Thu Feb 04 14:02:00 CST 2016,Thu Feb 04 23:02:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,331,Limit Holdem,20/40,none
bossier 20 40,$ 1000.00,$ 2513.00,$ 1513.00,Fri Feb 05 10:11:00 CST 2016,Sat Feb 06 01:11:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,332,Limit Holdem,20/40,none
El Dorado 5 10 full kill o8,$ 400.00,$ 780.00,$ 380.00,Sat Feb 06 14:45:00 CST 2016,Sat Feb 06 17:25:00 CST 2016,El Dorado,-,cashgame,5 10.  full kill,-,-,,333,Omaha 8,5/10,full-kill
Omaha,$ 1500.00,$ 464.00,$ -1036.00,Sat Feb 06 19:52:00 CST 2016,Sun Feb 07 01:52:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,2 5,-,-,,334,Omaha,2/5,none
bossier 20 40,$ 1000.00,$ 2281.00,$ 1281.00,Thu Feb 11 19:11:00 CST 2016,Fri Feb 12 07:11:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,335,Limit Holdem,20/40,none
bossier 20 40,$ 2000.00,$ 602.00,$ -1398.00,Fri Feb 12 11:09:00 CST 2016,Fri Feb 12 17:09:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,336,Limit Holdem,20/40,none
30 60 half kill,$ 2000.00,$ 5422.00,$ 3422.00,Wed Feb 17 21:05:00 CST 2016,Thu Feb 18 03:05:00 CST 2016,Blackhawk,-,cashgame,30 60,-,-,,337,Limit Holdem,30/60,half-kill
Bellagio 20 40,$ 1000.00,$ 265.00,$ -735.00,Thu Feb 25 01:34:00 CST 2016,Thu Feb 25 07:05:00 CST 2016,Bellagio,-,cashgame,20/40,-,-,,338,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2857.00,$ 1357.00,Thu Feb 25 16:03:00 CST 2016,Thu Feb 25 21:03:00 CST 2016,Bellagio,-,cashgame,20/40,-,-,,339,Limit Holdem,20/40,none
